date_reg,type,maker,model,colour,fuel,state
2024-06-17,motorcar,Mazda,Mazda 3,black,petrol,Terengganu
2024-10-07,motorcar,Toyota,Yaris,white,petrol,Selangor
2024-12-08,motorcar,Perodua,Myvi,red,petrol,Negeri Sembilan
2024-12-11,motorcar,Perodua,Axia,grey,petrol,Johor
2024-06-12,motorcar,Mazda,Mazda 3,red,petrol,Sabah
2024-01-18,motorcar,Nissan,Leaf,red,electric,Sarawak
2024-11-13,motorcar,Proton,X50,black,diesel,Pulau Pinang
2024-10-17,motorcar,Honda,City,grey,petrol,Johor
2024-04-03,motorcar,Honda,Civic,white,petrol,Kelantan
2024-04-02,motorcar,Toyota,Hilux,red,petrol,Perak
2024-01-01,motorcar,Toyota,Vios,white,petrol,Johor
2024-01-23,motorcar,Toyota,Vios,red,diesel,Selangor
2024-07-14,motorcar,Nissan,Leaf,grey,electric,Johor
2024-04-10,motorcar,Perodua,Axia,black,petrol,Sabah
2024-04-06,motorcar,Honda,HR-V,white,petrol,W.P. Kuala Lumpur
2024-08-14,motorcar,Perodua,Myvi,silver,hybrid_petrol,Johor
2024-07-08,motorcar,Perodua,Axia,silver,petrol,Sabah
2024-12-16,motorcar,Perodua,Axia,red,petrol,Sarawak
2024-05-21,motorcar,Perodua,Axia,red,petrol,Sarawak
2024-09-24,motorcar,Nissan,Almera,white,petrol,Pahang
2024-03-13,motorcar,Perodua,Axia,grey,petrol,Kelantan
2024-12-09,motorcar,Honda,City,grey,petrol,Selangor
2024-01-22,motorcar,Perodua,Bezza,white,petrol,Selangor
2024-12-16,motorcar,Perodua,Myvi,red,petrol,Selangor
2024-07-06,motorcar,Proton,X70,black,petrol,Sabah
2024-11-05,motorcar,Perodua,Myvi,grey,petrol,Sabah
2024-12-15,motorcar,Perodua,Axia,grey,petrol,Negeri Sembilan
2024-09-19,motorcar,Nissan,Almera,silver,petrol,Negeri Sembilan
2024-12-16,motorcar,Perodua,Bezza,white,petrol,W.P. Kuala Lumpur
2024-05-27,motorcar,Proton,X50,red,petrol,Johor
2024-05-15,motorcar,Toyota,Hilux,silver,petrol,W.P. Kuala Lumpur
2024-08-22,motorcar,Proton,X50,grey,petrol,Perak
2024-02-09,motorcar,Proton,Saga,red,petrol,W.P. Kuala Lumpur
2024-09-13,motorcar,Perodua,Axia,black,petrol,Pahang
2024-12-26,motorcar,Nissan,Almera,white,petrol,Pahang
2024-10-22,motorcar,Proton,X70,grey,petrol,Selangor
2024-05-24,motorcar,Proton,X70,grey,petrol,Pulau Pinang
2024-10-11,motorcar,Perodua,Axia,red,hybrid_petrol,Selangor
2024-06-13,motorcar,Nissan,Almera,grey,hybrid_petrol,W.P. Kuala Lumpur
2024-12-27,motorcar,Honda,City,white,petrol,Kedah
2024-04-02,motorcar,Toyota,Yaris,grey,petrol,W.P. Kuala Lumpur
2024-08-26,motorcar,Honda,HR-V,black,hybrid_petrol,Sabah
2024-09-22,motorcar,Toyota,Yaris,grey,petrol,W.P. Kuala Lumpur
2024-01-22,motorcar,Mazda,CX-5,white,hybrid_petrol,Pahang
2024-05-26,motorcar,Tesla,Model Y,white,electric,Selangor
2024-06-04,motorcar,Honda,City,black,petrol,Johor
2024-10-06,motorcar,Honda,City,black,petrol,Sabah
2024-11-23,motorcar,Perodua,Bezza,white,petrol,Terengganu
2024-02-07,motorcar,Perodua,Myvi,grey,diesel,Perak
2024-12-05,motorcar,Perodua,Bezza,red,petrol,Sarawak
2024-04-13,motorcar,Toyota,Yaris,red,petrol,Sarawak
2024-09-04,motorcar,Honda,City,white,petrol,Sabah
2024-08-09,motorcar,Honda,Civic,red,petrol,Selangor
2024-04-05,motorcar,Tesla,Model 3,white,electric,Terengganu
2024-01-11,motorcar,Nissan,Almera,white,petrol,Selangor
2024-02-05,motorcar,Toyota,Vios,white,petrol,Terengganu
2024-03-06,motorcar,Perodua,Myvi,red,petrol,Pahang
2024-07-11,motorcar,Proton,X50,black,petrol,Sabah
2024-06-03,motorcar,Proton,X70,silver,petrol,Sarawak
2024-01-20,motorcar,Perodua,Myvi,grey,petrol,Sabah
2024-12-18,motorcar,Proton,Saga,red,petrol,Pahang
2024-01-11,motorcar,Toyota,Yaris,white,petrol,Sarawak
2024-07-18,motorcar,Tesla,Model Y,white,electric,Kelantan
2024-07-25,motorcar,Honda,HR-V,red,petrol,Sabah
2024-12-25,motorcar,Toyota,Hilux,red,petrol,W.P. Kuala Lumpur
2024-02-16,motorcar,Toyota,Vios,grey,petrol,Sarawak
2024-03-24,motorcar,Perodua,Bezza,grey,petrol,Kedah
2024-06-04,motorcar,Toyota,Vios,red,petrol,Sabah
2024-11-07,motorcar,Nissan,X-Trail,white,petrol,Selangor
2024-04-14,motorcar,Toyota,Vios,black,petrol,Sarawak
2024-10-04,motorcar,Perodua,Axia,black,petrol,Selangor
2024-11-03,motorcar,Perodua,Myvi,grey,petrol,Sarawak
2024-08-10,motorcar,Proton,X70,red,petrol,Kedah
2024-12-26,motorcar,Honda,HR-V,red,diesel,Pulau Pinang
2024-11-08,motorcar,Proton,X70,silver,petrol,Kelantan
